arm,configuration,case,ssim,psnr,mse
fixed,median_n5,BraTS-GLI-01018-000,0.5643125176429749,17.440824508666992,0.01802675612270832
fixed,median_n5,BraTS-GLI-00400-000,0.6625953912734985,19.46139907836914,0.009812767617404461
fixed,median_n5,BraTS-GLI-00613-000,0.5251210927963257,17.2797794342041,0.018707768991589546
fixed,median_n5,BraTS-GLI-00241-000,0.5686860680580139,16.863967895507812,0.020587477833032608
fixed,median_n5,BraTS-GLI-00504-000,0.8663892149925232,18.75071907043457,0.006728287320584059
fixed,median_n5,BraTS-GLI-00608-000,0.6701404452323914,18.947717666625977,0.012741722166538239
random,n1,BraTS-GLI-00071-000,0.8404990434646606,17.508981704711914,0.01774604804813862
random,n1,BraTS-GLI-01302-000,0.9377104640007019,21.4869327545166,0.007100790273398161
random,n1,BraTS-GLI-00186-000,0.8000620603561401,14.732305526733398,0.02041255682706833
random,n1,BraTS-GLI-01266-000,0.6916342973709106,19.529296875,0.011144746094942093
random,n1,BraTS-GLI-00085-000,0.7552617192268372,19.208133697509766,0.011725730262696743
random,n1,BraTS-GLI-00386-000,0.7684982419013977,19.9761905670166,0.007106476463377476
random,n1,BraTS-GLI-01122-000,0.6907444000244141,15.23051643371582,0.029988054186105728
random,n1,BraTS-GLI-00204-000,0.5649579167366028,15.583124160766602,0.027649512514472008
random,n1,BraTS-GLI-01110-000,0.604367196559906,16.115982055664062,0.024456918239593506
random,n1,BraTS-GLI-01171-000,0.9071783423423767,22.574161529541016,0.00552819948643446
random,n1,BraTS-GLI-01490-000,0.8044956922531128,19.233531951904297,0.011930170468986034
random,n1,BraTS-GLI-00432-000,0.9684282541275024,22.831148147583008,0.004517310298979282
random,n1,BraTS-GLI-01328-000,0.7509087324142456,18.54776954650879,0.013970852829515934
random,n1,BraTS-GLI-00694-001,0.6511214971542358,19.163028717041016,0.012125426903367043
random,n1,BraTS-GLI-01162-000,0.7564183473587036,21.01622772216797,0.007755632977932692
random,n1,BraTS-GLI-01236-000,0.9447365403175354,19.590858459472656,0.010987883433699608
random,n1,BraTS-GLI-01306-000,0.7268070578575134,14.721759796142578,0.019030222669243813
random,n1,BraTS-GLI-01208-000,0.6822549700737,17.606090545654297,0.011875495314598083
random,n1,BraTS-GLI-00273-000,0.5444328784942627,17.651432037353516,0.017173418775200844
random,n1,BraTS-GLI-01018-000,0.5811537504196167,18.048931121826172,0.015671364963054657
random,n1,BraTS-GLI-00400-000,0.7066188454627991,20.977802276611328,0.006920722313225269
random,n1,BraTS-GLI-00613-000,0.5385829210281372,16.030595779418945,0.02494252286851406
random,n1,BraTS-GLI-00241-000,0.6034943461418152,17.19074058532715,0.019095271825790405
random,n1,BraTS-GLI-00504-000,0.8673610091209412,18.682296752929688,0.006835130043327808
random,n1,BraTS-GLI-00608-000,0.7116634845733643,18.902015686035156,0.01287651527673006
random,mean_n3,BraTS-GLI-00071-000,0.8536028265953064,18.103147506713867,0.015476939268410206
random,mean_n3,BraTS-GLI-01302-000,0.9307324290275574,21.07270622253418,0.007811409421265125
random,mean_n3,BraTS-GLI-00186-000,0.803566575050354,15.006315231323242,0.019164450466632843
random,mean_n3,BraTS-GLI-01266-000,0.7047942280769348,19.889848709106445,0.01025687251240015
random,mean_n3,BraTS-GLI-00085-000,0.7577226161956787,19.291471481323242,0.011501403525471687
random,mean_n3,BraTS-GLI-00386-000,0.7781606316566467,20.272172927856445,0.006638336926698685
random,mean_n3,BraTS-GLI-01122-000,0.6932962536811829,15.368439674377441,0.029050657525658607
random,mean_n3,BraTS-GLI-00204-000,0.5703337788581848,15.838414192199707,0.026071052998304367
random,mean_n3,BraTS-GLI-01110-000,0.6251187324523926,16.506155014038086,0.022355500608682632
random,mean_n3,BraTS-GLI-01171-000,0.9087380766868591,22.641984939575195,0.00544253783300519
random,mean_n3,BraTS-GLI-01490-000,0.814161479473114,19.654577255249023,0.010827846825122833
random,mean_n3,BraTS-GLI-00432-000,0.9681748747825623,22.806230545043945,0.004543301649391651
random,mean_n3,BraTS-GLI-01328-000,0.7625026106834412,18.900882720947266,0.012879873625934124
random,mean_n3,BraTS-GLI-00694-001,0.6624778509140015,19.34691619873047,0.011622732505202293
random,mean_n3,BraTS-GLI-01162-000,0.7630681991577148,21.42896270751953,0.007052403409034014
random,mean_n3,BraTS-GLI-01236-000,0.9517786502838135,20.130414962768555,0.009704172611236572
random,mean_n3,BraTS-GLI-01306-000,0.7444576025009155,15.340774536132812,0.016485650092363358
random,mean_n3,BraTS-GLI-01208-000,0.6992202997207642,17.871217727661133,0.011167586781084538
random,mean_n3,BraTS-GLI-00273-000,0.5489840507507324,18.02492904663086,0.015758218243718147
random,mean_n3,BraTS-GLI-01018-000,0.5943126082420349,18.277372360229492,0.014868343248963356
random,mean_n3,BraTS-GLI-00400-000,0.7060860395431519,21.041032791137695,0.006820689886808395
random,mean_n3,BraTS-GLI-00613-000,0.5524115562438965,16.38501739501953,0.022987842559814453
random,mean_n3,BraTS-GLI-00241-000,0.6133584380149841,17.466936111450195,0.017918694764375687
random,mean_n3,BraTS-GLI-00504-000,0.8823196887969971,19.12520408630371,0.006172425579279661
random,mean_n3,BraTS-GLI-00608-000,0.7141838669776917,19.05350112915039,0.01243511587381363
random,median_n3,BraTS-GLI-00071-000,0.8495297431945801,17.904911041259766,0.016199767589569092
random,median_n3,BraTS-GLI-01302-000,0.9299771785736084,21.041139602661133,0.007868393324315548
random,median_n3,BraTS-GLI-00186-000,0.802566409111023,15.033472061157227,0.019044987857341766
random,median_n3,BraTS-GLI-01266-000,0.7052052617073059,19.881303787231445,0.010277075693011284
random,median_n3,BraTS-GLI-00085-000,0.7568453550338745,19.248289108276367,0.011615958996117115
random,median_n3,BraTS-GLI-00386-000,0.7760151624679565,20.160022735595703,0.006811979226768017
random,median_n3,BraTS-GLI-01122-000,0.689708411693573,15.286578178405762,0.029603440314531326
random,median_n3,BraTS-GLI-00204-000,0.5705047249794006,15.801802635192871,0.026291755959391594
random,median_n3,BraTS-GLI-01110-000,0.6222200393676758,16.36859893798828,0.023074910044670105
random,median_n3,BraTS-GLI-01171-000,0.9082711338996887,22.608274459838867,0.005484947934746742
random,median_n3,BraTS-GLI-01490-000,0.8146904110908508,19.583066940307617,0.011007611639797688
random,median_n3,BraTS-GLI-00432-000,0.9679009914398193,22.773700714111328,0.004577459301799536
random,median_n3,BraTS-GLI-01328-000,0.7603984475135803,18.776378631591797,0.01325446367263794
random,median_n3,BraTS-GLI-00694-001,0.6561843156814575,19.249300003051758,0.01188693754374981
random,median_n3,BraTS-GLI-01162-000,0.7570837140083313,21.26995086669922,0.007315404247492552
random,median_n3,BraTS-GLI-01236-000,0.9486936926841736,19.799060821533203,0.010473552159965038
random,median_n3,BraTS-GLI-01306-000,0.7326215505599976,15.163333892822266,0.01717989146709442
random,median_n3,BraTS-GLI-01208-000,0.6946215629577637,17.779939651489258,0.011405431665480137
random,median_n3,BraTS-GLI-00273-000,0.5470433235168457,17.95125961303711,0.01602780446410179
random,median_n3,BraTS-GLI-01018-000,0.5921898484230042,18.191843032836914,0.015164059586822987
random,median_n3,BraTS-GLI-00400-000,0.7045251131057739,20.988069534301758,0.0069043757393956184
random,median_n3,BraTS-GLI-00613-000,0.5474048852920532,16.226280212402344,0.023843606933951378
random,median_n3,BraTS-GLI-00241-000,0.6093519926071167,17.342870712280273,0.018437961116433144
random,median_n3,BraTS-GLI-00504-000,0.8821479678153992,19.114341735839844,0.006187885999679565
random,median_n3,BraTS-GLI-00608-000,0.7122845649719238,18.9835147857666,0.012637127190828323
random,mean_n5,BraTS-GLI-00071-000,0.8512181639671326,17.98581314086914,0.015900790691375732
random,mean_n5,BraTS-GLI-01302-000,0.9301528930664062,21.012104034423828,0.007921174168586731
random,mean_n5,BraTS-GLI-00186-000,0.8022966384887695,14.959616661071777,0.019371632486581802
random,mean_n5,BraTS-GLI-01266-000,0.7090532183647156,19.98172950744629,0.010042152367532253
random,mean_n5,BraTS-GLI-00085-000,0.7690058946609497,19.409528732299805,0.011192030273377895
random,mean_n5,BraTS-GLI-00386-000,0.7785852551460266,20.37221336364746,0.006487202364951372
random,mean_n5,BraTS-GLI-01122-000,0.7008455395698547,15.47360610961914,0.028355633839964867
random,mean_n5,BraTS-GLI-00204-000,0.5696152448654175,15.85168743133545,0.025991490110754967
random,mean_n5,BraTS-GLI-01110-000,0.6245360970497131,16.52206039428711,0.022273771464824677
random,mean_n5,BraTS-GLI-01171-000,0.9089037775993347,22.66282844543457,0.005416479427367449
random,mean_n5,BraTS-GLI-01490-000,0.8110696077346802,19.688844680786133,0.010742751881480217
random,mean_n5,BraTS-GLI-00432-000,0.9689897894859314,22.887788772583008,0.004458777606487274
random,mean_n5,BraTS-GLI-01328-000,0.7596592903137207,18.835437774658203,0.013075437396764755
random,mean_n5,BraTS-GLI-00694-001,0.6655839681625366,19.39373779296875,0.0114981047809124
random,mean_n5,BraTS-GLI-01162-000,0.7648515105247498,21.49394416809082,0.00694766640663147
random,mean_n5,BraTS-GLI-01236-000,0.9493522047996521,19.772220611572266,0.010538475587964058
random,mean_n5,BraTS-GLI-01306-000,0.7425031661987305,15.41430950164795,0.01620613783597946
random,mean_n5,BraTS-GLI-01208-000,0.7021816968917847,17.897258758544922,0.011100538074970245
random,mean_n5,BraTS-GLI-00273-000,0.5546939969062805,18.143293380737305,0.015334532596170902
random,mean_n5,BraTS-GLI-01018-000,0.5977515578269958,18.336076736450195,0.014668723568320274
random,mean_n5,BraTS-GLI-00400-000,0.711689829826355,21.09377098083496,0.006738361436873674
random,mean_n5,BraTS-GLI-00613-000,0.5459290742874146,16.39202308654785,0.022950787097215652
random,mean_n5,BraTS-GLI-00241-000,0.6194130182266235,17.56841278076172,0.01750485971570015
random,mean_n5,BraTS-GLI-00504-000,0.8796771168708801,19.024574279785156,0.006317119114100933
random,mean_n5,BraTS-GLI-00608-000,0.7206050157546997,19.234092712402344,0.011928629130125046
random,median_n5,BraTS-GLI-00071-000,0.8512253761291504,17.930177688598633,0.016105791553854942
