run_id,run_name,label,include_in_main,step,val_ema_ssim,val_ema_psnr,val_ema_mse
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,120000,0.7999563455581665,18.337834548950195,0.013796201907098293
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,125000,0.8002142071723938,18.364693069458006,0.013673966191709042
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,130000,0.8003962993621826,18.386506652832033,0.013588391430675983
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,135000,0.8005361676216125,18.413046646118165,0.013475723005831242
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,140000,0.8005586862564087,18.41652488708496,0.013432632572948933
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,145000,0.8009556531906128,18.444534683227538,0.013338280282914639
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,150000,0.8011405348777771,18.462967681884766,0.013262924738228321
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,155000,0.8012267708778381,18.475384140014647,0.013205768167972564
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,160000,0.8011200785636902,18.472037887573244,0.013205601274967194
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,165000,0.8008704781532288,18.46995849609375,0.013203898444771767
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,170000,0.8004380702972412,18.468381881713867,0.013203880563378335
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,175000,0.7999850511550903,18.468891906738282,0.013194893673062324
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,180000,0.7995392680168152,18.462466430664062,0.013204377330839633
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,185000,0.7991104006767273,18.452965545654298,0.013225444406270982
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,190000,0.7985256671905517,18.44183807373047,0.013249220512807369
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,195000,0.7979796409606934,18.43132095336914,0.013275659643113613
lklejvva,abl-film-input-s0,FiLM-fixed,true,5000,0.6277552485466004,11.296764945983886,0.0743463583290577
lklejvva,abl-film-input-s0,FiLM-fixed,true,10000,0.6020624339580536,10.890297508239746,0.07548697665333748
lklejvva,abl-film-input-s0,FiLM-fixed,true,15000,0.6810927987098694,12.970988464355468,0.04700347036123276
lklejvva,abl-film-input-s0,FiLM-fixed,true,20000,0.7046796679496765,14.125809860229491,0.03780013881623745
lklejvva,abl-film-input-s0,FiLM-fixed,true,25000,0.7115548968315124,14.347868537902832,0.03529978729784489
lklejvva,abl-film-input-s0,FiLM-fixed,true,30000,0.7173152685165405,14.334535598754883,0.03527739718556404
lklejvva,abl-film-input-s0,FiLM-fixed,true,35000,0.7188044190406799,14.41291675567627,0.03484117612242699
lklejvva,abl-film-input-s0,FiLM-fixed,true,40000,0.7212172508239746,14.639408683776855,0.033281230553984645
lklejvva,abl-film-input-s0,FiLM-fixed,true,45000,0.7337104797363281,15.235787963867187,0.029977471381425858
lklejvva,abl-film-input-s0,FiLM-fixed,true,50000,0.7455302476882935,15.684404754638672,0.02726343832910061
lklejvva,abl-film-input-s0,FiLM-fixed,true,55000,0.7599340796470642,16.35420627593994,0.023418984934687616
