case,random_ssim,weighted_ssim,delta_ssim_weighted_minus_random,random_psnr,weighted_psnr,delta_psnr_db_weighted_minus_random,random_mse,weighted_mse,mse_reduction_random_minus_weighted,all_metric_outcome
BraTS-GLI-01105-000,0.6228975653648376,0.6472702026367188,0.024372637271881104,17.996562957763672,18.82978630065918,0.8332233428955078,0.01586148329079151,0.013092461973428726,0.0027690213173627853,weighted_wins_all
BraTS-GLI-01109-000,0.7816881537437439,0.8269158005714417,0.045227646827697754,15.03652286529541,16.522380828857422,1.4858579635620117,0.015765411779284477,0.011196078732609749,0.004569333046674728,weighted_wins_all
BraTS-GLI-01121-000,0.9781888723373413,0.9805738925933838,0.0023850202560424805,19.416776657104492,19.86001968383789,0.44324302673339844,0.005959891248494387,0.005381631199270487,0.0005782600492238998,weighted_wins_all
BraTS-GLI-01132-000,0.6012258529663086,0.6432328820228577,0.04200702905654907,17.23398780822754,18.537349700927734,1.3033618927001953,0.018906066194176674,0.014004413969814777,0.0049016522243618965,weighted_wins_all
BraTS-GLI-01174-000,0.9454387426376343,0.985335648059845,0.03989690542221069,11.862532615661621,18.972135543823242,7.109602928161621,0.011899053119122982,0.002311968943104148,0.009587084176018834,weighted_wins_all
BraTS-GLI-01184-000,0.7440980672836304,0.7850931286811829,0.04099506139755249,17.850738525390625,19.278499603271484,1.4277610778808594,0.01640309952199459,0.011807282455265522,0.004595817066729069,weighted_wins_all
BraTS-GLI-01190-000,0.9566450715065002,0.961737871170044,0.005092799663543701,22.4520320892334,22.8113956451416,0.3593635559082031,0.0026666317135095596,0.0024548599030822515,0.00021177181042730808,weighted_wins_all
BraTS-GLI-01191-000,0.705342173576355,0.7323199510574341,0.0269777774810791,18.759653091430664,19.643264770507812,0.8836116790771484,0.0133056053891778,0.010856094770133495,0.002449510619044304,weighted_wins_all
BraTS-GLI-01215-000,0.9063007831573486,0.8864200711250305,-0.019880712032318115,19.004396438598633,18.63547134399414,-0.3689250946044922,0.012576514855027199,0.0136915547773242,-0.0011150399222970009,random_wins_all
BraTS-GLI-01229-000,0.9679513573646545,0.9699362516403198,0.001984894275665283,18.04956817626953,18.11260986328125,0.06304168701171875,0.007597137242555618,0.007409007288515568,0.0001881299540400505,weighted_wins_all
BraTS-GLI-01231-000,0.9267997145652771,0.9442585110664368,0.017458796501159668,18.012662887573242,19.059661865234375,1.0469989776611328,0.007123436313122511,0.005597442388534546,0.001525993924587965,weighted_wins_all
BraTS-GLI-01245-000,0.9506401419639587,0.9584078788757324,0.007767736911773682,20.212064743041992,21.245023727416992,1.032958984375,0.004860164597630501,0.003830855479463935,0.001029309118166566,weighted_wins_all
BraTS-GLI-01263-000,0.8790010213851929,0.9506711363792419,0.07167011499404907,15.305797576904297,18.97908592224121,3.673288345336914,0.015389000996947289,0.006605132482945919,0.00878386851400137,weighted_wins_all
BraTS-GLI-01269-000,0.7976620197296143,0.7937828302383423,-0.0038791894912719727,21.01443099975586,21.360187530517578,0.34575653076171875,0.007916928268969059,0.007311074063181877,0.0006058542057871819,mixed
BraTS-GLI-01282-000,0.8650278449058533,0.8927006721496582,0.02767282724380493,17.83553123474121,18.46831703186035,0.6327857971191406,0.0069358632899820805,0.005995878949761391,0.0009399843402206898,weighted_wins_all
BraTS-GLI-01288-000,0.5583072304725647,0.5719595551490784,0.013652324676513672,19.07259178161621,19.159975051879883,0.08738327026367188,0.012380572035908699,0.01213395781815052,0.0002466142177581787,weighted_wins_all
BraTS-GLI-01313-000,0.9170863032341003,0.8856452703475952,-0.03144103288650513,23.004066467285156,21.317873001098633,-1.6861934661865234,0.0018769109155982733,0.002767628524452448,-0.0008907176088541746,random_wins_all
BraTS-GLI-01330-000,0.6831686496734619,0.726885199546814,0.04371654987335205,17.352127075195312,18.728347778320312,1.376220703125,0.018398704007267952,0.013401857577264309,0.004996846430003643,weighted_wins_all
BraTS-GLI-01332-000,0.9491539001464844,0.9686536192893982,0.01949971914291382,19.087297439575195,20.928579330444336,1.8412818908691406,0.0066027832217514515,0.004309067036956549,0.002293716184794903,weighted_wins_all
BraTS-GLI-01357-000,0.9429663419723511,0.9400706887245178,-0.002895653247833252,21.10287857055664,20.83303451538086,-0.26984405517578125,0.004533092956990004,0.0048015969805419445,-0.0002685040235519409,random_wins_all
BraTS-GLI-01389-000,0.8984629511833191,0.8709595799446106,-0.027503371238708496,16.959928512573242,16.624204635620117,-0.335723876953125,0.008189449086785316,0.008819171227514744,-0.0006297221407294273,random_wins_all
BraTS-GLI-01425-000,0.7033258676528931,0.705239474773407,0.001913607120513916,19.200708389282227,18.556604385375977,-0.64410400390625,0.012020680122077465,0.01394246518611908,-0.0019217850640416145,mixed
BraTS-GLI-01439-000,0.7969720363616943,0.8349835276603699,0.03801149129867554,14.706260681152344,18.337451934814453,3.6311912536621094,0.01399038452655077,0.005985569674521685,0.008004814852029085,weighted_wins_all
BraTS-GLI-01447-000,0.9892123341560364,0.990310788154602,0.0010984539985656738,20.113435745239258,19.75775146484375,-0.3556842803955078,0.0008938330574892461,0.0009659287752583623,-7.209571776911616e-05,mixed
BraTS-GLI-01453-000,0.8680018782615662,0.8396918177604675,-0.028310060501098633,16.735872268676758,17.669322967529297,0.9334506988525391,0.01733098365366459,0.01397907268255949,0.0033519109711050987,mixed
BraTS-GLI-01498-000,0.9366168975830078,0.9318241477012634,-0.004792749881744385,19.843204498291016,18.911476135253906,-0.9317283630371094,0.002639684360474348,0.0032713336404412985,-0.0006316492799669504,random_wins_all
BraTS-GLI-01499-000,0.6913977861404419,0.7264756560325623,0.03507786989212036,19.20794105529785,20.865625381469727,1.657684326171875,0.012000682763755322,0.008192894980311394,0.0038077877834439278,weighted_wins_all
BraTS-GLI-01516-000,0.7223131656646729,0.7403073310852051,0.017994165420532227,18.16098403930664,17.840843200683594,-0.3201408386230469,0.015272201038897038,0.01644052565097809,-0.0011683246120810509,mixed
BraTS-GLI-01517-000,0.973723292350769,0.9826653599739075,0.008942067623138428,16.563949584960938,19.666744232177734,3.102794647216797,0.004297094419598579,0.002103271894156933,0.0021938225254416466,weighted_wins_all
BraTS-GLI-01665-000,0.8647109270095825,0.8636106252670288,-0.001100301742553711,19.61465835571289,19.385154724121094,-0.22950363159179688,0.010927830822765827,0.011520850472152233,-0.0005930196493864059,random_wins_all
